"V1","V2","V3"
1933-03-04,1945-04-12,"Franklin Delano Roosevelt"
1945-04-12,1953-01-20,"Harry S. Truman"
1953-01-20,1961-01-20,"Dwight David Eisenhower"
1961-01-20,1963-11-22,"John Fitzgerald Kennedy"
1963-11-22,1969-01-20,"Lyndon Baines Johnson"
1969-01-20,1974-08-09,"Richard Milhouse Nixon"
1974-08-09,1977-01-20,"Gerald Rudolph Ford Jr."
1977-01-20,1981-01-20,"James Earl Carter"
1981-01-20,1989-01-20,"Ronald Wilson Reagan"
1989-01-20,1993-01-20,"George H.W Bush"
1993-01-20,2001-01-20,"Bill Clinton"
2001-01-20,2009-01-20,"George W. Bush"
2009-01-20,2017-01-20,"Barack Obama"
2017-01-20,2017-09-07,"Donald Trump"
