"指標","アベノミクス以前","アベノミクス以後","比較結果","","比較単位","直近月(月期)"
"マネーストック(月次):M2/平/マネーストック(兆円)",827.6923,978.4847,18.2,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","%","2017年07月"
"マネーストック(月次):M3/平/マネーストック(兆円)",1135.8541,1305.0713,14.9,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","%","2017年07月"
"マネーストック(月次):広義流動性/平/マネーストック(兆円)",1470.5692,1704.7316,15.9,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","%","2017年07月"
"就業者(万人)-男女計:季節調整値",6263,6531,268,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","万人","2017年06月"
"非労働力人口(万人)-男女計:季節調整値",4561,4373,-188,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-down.ico"" alt=""Decreased"">","万人","2017年06月"
"完全失業率(%)-男女計:季節調整値",4.3,2.8,-1.5,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-down.ico"" alt=""Decreased"">","%ポイント","2017年06月"
"新規求人倍率(倍)-季節調整値",1.32,2.25,0.93,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","ポイント","2017年06月"
"有効求人倍率(倍)-季節調整値",0.83,1.51,0.68,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","ポイント","2017年06月"
"新規求人倍率(倍):正社員:季節調整値",0.78,1.46,0.68,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","ポイント","2017年06月"
"有効求人倍率(倍):正社員:季節調整値",0.5,1.01,0.51,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","ポイント","2017年06月"
"日経平均株価:終値",10395.18,19925.18,91.7,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","%","2017年07月"
"東京市場 ドル・円 スポット 17時時点/月中平均",83.6,112.5,34.6,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","%","2017年07月"
"CPI前年比(%):総合",-0.1,0.4,0.5,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","%ポイント","2017年06月"
"CPI前年比(%):生鮮食品を除く総合",-0.2,0.4,0.6,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","%ポイント","2017年06月"
"CPI前年比(%):食料(酒類を除く)及びエネルギーを除く総合",-0.6,-0.2,0.4,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","%ポイント","2017年06月"
"CPI前年比(%):生鮮食品及びエネルギーを除く総合",-0.5,0,0.5,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","%ポイント","2017年06月"
"訪日外客数(万人):総数",68.9679,234.65,165.6821,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","万人","2017年06月"
"訪日外客数(万人):韓国",19.995,56.89,36.895,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","万人","2017年06月"
"訪日外客数(万人):中国",5.2336,58.72,53.4864,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","万人","2017年06月"
"名目季節調整系列:国内総生産(支出側,兆円,四半期)",492.7889,537.4022,9.1,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","%","2017年03月"
"財務省貿易統計:輸出:季節調整値(兆円)",5.185689,6.316211,21.8,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","%","2017年06月"
"財務省貿易統計:輸入:季節調整値(兆円)",5.925022,6.234787,5.2,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","%","2017年06月"
"貸出・預金動向(月次):総貸出平残(銀行・信金計)(兆円)",463.1183,516.2539,11.5,"<img border=""0"" src=""https://raw.githubusercontent.com/am-consulting/am-consulting.github.io/master/components/favicon-arrow-up.ico"" alt=""Increased"">","%","2017年07月"
