Date,所定内給与額(千円):男女計,所定内給与額:対前年増減率(%):男女計,所定内給与額(千円):男,所定内給与額:対前年増減率(%):男,所定内給与額(千円):女,所定内給与額:対前年増減率(%):女,2016年:男女計:平均年齢(歳),2016年:男女計:勤続年数(年),2016年:男:平均年齢(歳),2016年:男:勤続年数(年),2016年:女:平均年齢(歳),2016年:女:勤続年数(年)
1976/4/1,131.8,,151.5,,89.1,,42.2,11.9,43,13.3,40.7,9.3
1977/4/1,144.5,9.6,166,9.6,97.9,9.9,,,,,,
1978/4/1,153.9,6.5,176.7,6.4,104.2,6.4,,,,,,
1979/4/1,162.4,5.5,186.3,5.4,109.9,5.5,,,,,,
1980/4/1,173.1,6.6,198.6,6.6,116.9,6.4,,,,,,
1981/4/1,184.1,6.4,211.4,6.4,124.6,6.6,,,,,,
1982/4/1,193.3,5,222,5,130.1,4.4,,,,,,
1983/4/1,199.4,3.2,229.3,3.3,134.7,3.5,,,,,,
1984/4/1,206.5,3.6,237.5,3.6,139.2,3.3,,,,,,
1985/4/1,213.8,3.5,244.6,3,145.8,4.7,,,,,,
1986/4/1,220.6,3.2,252.4,3.2,150.7,3.4,,,,,,
1987/4/1,226.2,2.5,257.7,2.1,155.9,3.5,,,,,,
1988/4/1,231.9,2.5,264.4,2.6,160,2.6,,,,,,
1989/4/1,241.8,4.3,276.1,4.4,166.3,3.9,,,,,,
1990/4/1,254.7,5.3,290.5,5.2,175,5.2,,,,,,
1991/4/1,266.3,4.6,303.8,4.6,184.4,5.4,,,,,,
1992/4/1,275.2,3.3,313.5,3.2,192.8,4.6,,,,,,
1993/4/1,281.1,2.1,319.9,2,197,2.2,,,,,,
1994/4/1,288.4,2.6,327.4,2.3,203,3,,,,,,
1995/4/1,291.3,1,330,0.8,206.2,1.6,,,,,,
1996/4/1,295.6,1.5,334,1.2,209.6,1.6,,,,,,
1997/4/1,298.9,1.1,337,0.9,212.7,1.5,,,,,,
1998/4/1,299.1,0.1,336.4,-0.2,214.9,1,,,,,,
1999/4/1,300.6,0.5,336.7,0.1,217.5,1.2,,,,,,
2000/4/1,302.2,0.5,336.8,0,220.6,1.4,,,,,,
2001/4/1,305.8,1.2,340.7,1.2,222.4,0.8,,,,,,
2002/4/1,302.6,-1,336.2,-1.3,223.6,0.5,,,,,,
2003/4/1,302.1,-0.2,335.5,-0.2,224.2,0.3,,,,,,
2004/4/1,301.6,-0.2,333.9,-0.5,225.6,0.6,,,,,,
2005/4/1,302,0.1,337.8,1.2,222.5,-1.4,,,,,,
2006/4/1,301.8,-0.1,337.7,0,222.6,0,,,,,,
2007/4/1,301.1,-0.2,336.7,-0.3,225.2,1.2,,,,,,
2008/4/1,299.1,-0.7,333.7,-0.9,226.1,0.4,,,,,,
2009/4/1,294.5,-1.5,326.8,-2.1,228,0.8,,,,,,
2010/4/1,296.2,0.6,328.3,0.5,227.6,-0.2,,,,,,
2011/4/1,296.8,0.2,328.3,0,231.9,1.9,,,,,,
2012/4/1,297.7,0.3,329,0.2,233.1,0.5,,,,,,
2013/4/1,295.7,-0.7,326,-0.9,232.6,-0.2,,,,,,
2014/4/1,299.6,1.3,329.6,1.1,238,2.3,,,,,,
2015/4/1,304,1.5,335.1,1.7,242,1.7,,,,,,
2016/4/1,304,0,335.2,0,244.6,1.1,,,,,,
